category_id,meta,category,type,pod
19013002,19,"Shops,Computers and Electronics,Mobile Phones",place,s
19013003,19,"Shops,Computers and Electronics,Cameras",place,s
19014000,19,"Shops,Construction Supplies",place,s
19015000,19,"Shops,Convenience Stores",place,s
19016000,19,"Shops,Costumes",place,s
19017000,19,"Shops,Dance and Music",place,s
19018000,19,"Shops,Department Stores",place,s
19019000,19,"Shops,Digital Purchase",digital,s
19020000,19,"Shops,Discount Stores",place,s
19021000,19,"Shops,Electrical Equipment",place,s
19022000,19,"Shops,Equipment Rental",place,s
19023000,19,"Shops,Flea Markets",place,s
19024000,19,"Shops,Florists",place,s
19025000,19,"Shops,Food and Beverage Store",place,s
19025001,19,"Shops,Food and Beverage Store,Specialty",place,s
19025002,19,"Shops,Food and Beverage Store,Health Food",place,s
19025003,19,"Shops,Food and Beverage Store,Farmers Markets",place,s
19025004,19,"Shops,Food and Beverage Store,Beer, Wine and Spirits",place,s
19026000,19,"Shops,Fuel Dealer",place,s
19027000,19,"Shops,Furniture and Home Decor",place,s
19028000,19,"Shops,Gift and Novelty",place,s
19029000,19,"Shops,Glasses and Optometrist",place,s
19030000,19,"Shops,Hardware Store",place,s
19031000,19,"Shops,Hobby and Collectibles",place,s
19032000,19,"Shops,Industrial Supplies",place,s
19033000,19,"Shops,Jewelry and Watches",place,s
19034000,19,"Shops,Luggage",place,s
19035000,19,"Shops,Marine Supplies",place,s
19036000,19,"Shops,Music, Video and DVD",place,s
19037000,19,"Shops,Musical Instruments",place,s
19038000,19,"Shops,Newsstands",place,s
19039000,19,"Shops,Office Supplies",place,s
19040000,19,"Shops,Outlet",place,s
19040001,19,"Shops,Outlet,Women's Store",place,s
19040002,19,"Shops,Outlet,Swimwear",place,s
19040003,19,"Shops,Outlet,Shoe Store",place,s
19040004,19,"Shops,Outlet,Men's Store",place,s
19040005,19,"Shops,Outlet,Lingerie Store",place,s
19040006,19,"Shops,Outlet,Kids' Store",place,s
19040007,19,"Shops,Outlet,Boutique",place,s
19040008,19,"Shops,Outlet,Accessories Store",place,s
19041000,19,"Shops,Pawn Shops",place,s
